titleJobs,comanyName,companyLocation,employeeRank,workType,skill,link,workModality,industry ,date
"Consultoria - Strategy, Risk & Compliance | Cybersecurity - [US Client]",PwC Argentina,"Provincia de Buenos Aires, Argentina ",De 5.001 a 10.000 empleados ,Jornada completa · Algo de responsabilidad,Dato no encontrado,https://www.linkedin.com/jobs/view/3677049897/?eBP=CwEAAAGKqhxiqYou0f4hqXqKzZJ3TO850bYq3x91ZV1Xqf3SXRVZl5KrzNdV5oy4QpN4759sFKJBlsc5pGBpfveDK-yJW74bIkYkATOo9b7oc-Lr0yP4RRfwY4vbpkh19bfuCazwL_c7GWKYvcyc5T6A6OY9j-0ryS3_BbqC2fJWb08JBXa5L0E-rq2ulMXA04HqZGQ4Qs6x7Bxf0rV892c3HJcS1M82OSuY64S99ngUT8xh6KKeiq1_HnaElURUnIkwRF3XTAGYlRtrpK54RMUwgs7w1EDNeU4nJ_4wxuUa23qs_30Y0rePgkQiVm2lie6BINU0xEZM71TU9Z0A8RPB5lHaYsR3ZFBeRwtY89xZkEsHN2F7nJmD3aRULarLteq9eWVgT9NqH7hM&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=ZRBVvnDQnLhSvqCIS6t9sw%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Asesoría y servicios empresariales,2023-09-18
Scrum Master II,Teladoc Health,Argentina ,De 5.001 a 10.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3708054274/?eBP=CwEAAAGKqhxiqaEZcax1nm5rsnAbjU-lDquTb8i8J1ovBwP5uLRsNd4EVR3raFQYZ3-o3gTouhBRAGKeD-369wposqZQT9eHUnBJDIaEm7FYPhqSsAxOzAY8X4EQJEHvXY4H3Ozuf8vgnmoLzumVsQNuBEeetOeSyLClu_SPeSNsat4VcKHWNGiOrcSuO1rNot9voCPBvTjtmv-YdKsIu3VGjjivLbQt5b4kBo7Ab-toRXdsLXTxlE-QDUGDPvfUwSN709zmiQHZMluknmF38XySz46F-LTGY6Y_BlF51h0eTfr5IKxLMJHkAX9HNRa0d39zKF8DKCuFEn2OkJ9RT-VJOptJHGDY5UL5CpBPlES97MeyVbZo4LsICaPfkXE0XAuef9W_eB_dWefU&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=0bxQ%2FQLrmtI03XbRg9gbQw%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Hospitales y atención sanitaria,2023-09-18
Java & Angular developer,IBM,"Buenos Aires, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3696805436/?eBP=CwEAAAGKqhxiqUHFuk6sYl8e54kTvPh_iZmdiowV7_Pveh5jYaYplPTNgG7wFYrWfn-PTV_FTzz_DzodSMakfTiv-h0hPK-kgdhv1LUZXP8_uUm4R-UnEVnvMyLH-oBjV8GAV4LfbEYhIduVK01mQJoIzsfpriHRzwdR5ypAJtsKH1-pa-kQE-6fyIQcj73WeL_0rzC2mGPECKlpak5rofHcQd4UaBJDG1BTnJ0_lkbHLG28Ujof8QixyH6UVVlSrfZSmpPDJrTrt-iKGB-WrCb17u6a47APxMOGI6ul924uoW4dyyTfW4IkqqNAewB9v7EbddZhdJe3pvnW_rVsrUW3zj2Fzdbp5dPdy0oJl1v4qs_66PydTZQB8WOiDjyNjLD43hiTfrG6e_W2&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=v0WhKzC%2Ba2GscfVSYorDQQ%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios de TI y consultoría de TI,2023-09-18
Java & Angular developer,IBM,"Córdoba, Córdoba, Argentina ",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3696801675/?eBP=CwEAAAGKqhxiqg-CRtFI_SZ3-ymGORVjRuBGUJWZatgon-VmQonYsY3nj1j80mkR0lZcoUUdGpg0G_VpE9ZPV6dFj5ZoU_pqpYfF7PHDQGZzx0tMcpjsYqU7s0GAhKyMxMUlfJG4e8jWhg4j1Oj7KV-ANP7LmokaU55SmIVUnVfO0RcjtdUH5pbOqOc7MOaYz1Vp2p_KnSQHv4vRGtJ4-6vHRQuPjUqQKVyd1xJowkGCXAhSrHorvHVRjxyU2wfGCCm_rZdo-BpK8qKQcdnQBNImblbg3WnEkViqObrxv7oMENhhnnawMEB9M1CvGYK9lBv3mIvoWitjupNkIFFGXGW5o08KMG43dMDSjSd5SYpkuDoAFJ-hL5GGzGdcKpjJQ5W56Bdk9LH_iw&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=gAQfk8H6tODZUvs2UFMZ8g%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios de TI y consultoría de TI,2023-09-18
Senior Mobile Engineer (Platform),Consensys,Argentina ,De 501 a 1.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3719667242/?eBP=CwEAAAGKqhxiqtP9E0Dl9-XxKZC_CULs4hm3qyBYFDCsTJ6w2qLao0U52nYvrOZhr3DchRp-ZvK_ryRwcR-gX04KfRaNHR5NhkhgfwKxPQ_F19Czu5XreYL9VAqFowgpvqPagilr5EwbchSA_72OdPW_oDyE9m6hI0qejg2BU3n5ZHOzvJaaPSeyi7VX1qXGbj881gWWKeYsslhe7-F6NpRluBVdljQ7HnBuFidUvwBkTn5dlnPaIslPooERWr701KuVyU9oBrWXIOjHET6icFlcf786Yi1xvoOlCN8eSo4AgVHOOwUYlThJevVftT-5XAgSj7j8zv5WCfPYVpbXSFZQ-Gur3LZdr1ay2kbd&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=4nk9ueasB4H%2BiaFcyV5U1w%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Desarrollo de software,2023-09-18
MySQL Site Reliability Engineer II,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",Más de 10.001 empleados ,Jornada completa,"['Linux', 'Programación', 'Python', 'Unix', 'Gestión de incidencias', 'Guiones shell', 'Ingeniería de fiabilidad de sitios', 'Nivel de servicio de contratos', 'Niveles de servicio', 'Secuencia de comandos']",https://www.linkedin.com/jobs/view/3682110823/?eBP=CwEAAAGKqhxiqgZf4HgSoSkNMuiFN_AGlthHPCfbqhaflMb8kQN9-iTrcsg0MG_XU3v8ubGo5G5sLtglCtC9kooZvlmnMWMIR4a8QYgsGLu2_O5QEUEdS7icMhvXzo8nhgFRKhUjR16rzZvXUbJ2ML5WOHqF2DBYm1TZsiz6-bcl76n8ubOiBdXNSnVnrZ-nWKGjNNgvXxNCHh3F6VZLJ4KZwIP7wFIqqTrrlx_2y9AQp5awnA2MFbeGwW2I8yKjPYHCbvsrwrIz_e492TjsaqLzeddK4Vii3Mq1ZfxYEeSrDx__0WrVbsmli9NkBviXVv4SDnz6wUHi5MdV_B_f3Zcc_9XCEylKqIZPtn_88ZxVR3dGheKbjk3L5nm9XZwirA53kcCg9wrSG1MR&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=Wec6qTpGP7jyCNCxLM06Og%3D%3D&trk=flagship3_search_srp_jobs,Dato no encontrado, Servicios financieros,2023-09-18
Full Stack .Net Core,IBM,"Buenos Aires, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3713492190/?eBP=CwEAAAGKqhxiqqWDrfysDJyzK8bfd9NplNDxk8CZhMQpiU7lZtFjvoG-Oun0Q8pStTuY_GasoSt7N46fTGp2syPO50-5s0yU43jQhZWH5WqdH1qQzCO9l3y4_6h-Ce3OI2QtKcYjmzpmAktwupSYciBK118mIfJtlWG7BNxqzmv-ti7hNb3LLhXKP5-sN73w1zVnv8XfkhX2rRgLqO9lI2L8eUjXvj2_JIqs18D0plexo5FwjYTINTZsXC1if9iFV-SuFgyaH7vhPhSGayhEUqfzOIiyCFWwLPuFKNTZXWAl0AT0DM91MUmtXGB3Hsd68r8oHcWqC8UgMyXYsJAX1rho9-B9GP1IUg1BNVhAZCgZjFfR_pmHVK7zBts17y6g0rwFJEm5KsKxRqtg&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=%2FmAzxWP2skrEr6869dfIvQ%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios de TI y consultoría de TI,2023-09-18
Senior Python Engineer,Clevertech,Argentina ,De 501 a 1.000 empleados ,Jornada completa · Intermedio,"['Ingeniería', 'Microsoft Office', 'Python', 'Resolución de problemas', 'Django', 'Django REST framework', 'Grit', 'Inglés', 'Programación de aplicaciones']",https://www.linkedin.com/jobs/view/3723715744/?eBP=CwEAAAGKqhxiqmEUyELxoRgrwfoJKLdGmAwnu2oOTO7k2xC__vintpD7QNqZB8jTLhUiT0Z3T-IF09FyzntfP99wqg1BHAzkZ1xMlt2DFdFIoGDuuWLo45Qx_Wf7v1f6jMC8UEmLUd9CLyqSNOl-ynRiMaMKPoZCYa20kWlGxswDBkPxAhdX60YKAH2uBxpduzQx3GPxLUvRbVFOmxsuTMPRRkn9qwxfSSs8g0fSGqY4sa4CkUJYGzUlxTA70z8kxLroHfDwesV5TmJGlKmorJI5iQdp2JxPnTAt-JlMnJq9A9qDIZ1-oxZfkeOjxGTObeelrcVT9D9Gx5l-xTYWYMDozqm7V5b62vTK3YNiEsQSgkJew4HFu6eBcjm1zrya4C8hpUhheVeJP86E&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=2LQazKRgwrs6YVn83tQKqQ%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
Senior Python Developer,EPAM Anywhere,Argentina ,De 1.001 a 5.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3718953315/?eBP=CwEAAAGKqhxiqp3Cp9p0WMkFbQx8neTQpg4ZwcsKqZMeMebARXhDq8pvGVyaig6ghtJP_Fl2uzdO90PGDuFCu8AaoSqktyFmvW8HAoZNwXCVYEIy4ipEypbVIuP5Ck5HkJThCOJAJfN0ke8bvBZ93gctxfS8nmUtz_7mHNlzlRQNBSWFXYT2gcM_QBlrN2mrPT2xz8KZ3sTxerPfUqdBge4j_eORPEm0VKSx_o1gDRIjcAN-7WwWHzG_3Ymq9OgsT7v7cNL4Gpt0f5K3zZLjMVBQtiOpfmWI6KLuT8c6PVFg8SY6ns-Zzf75MSNOBPBRZ16rq4OD7QfnQZqaXLyH_XwpxTLWFnVBXnzOat4byu1blnVQ2Bd0iWm7a_JMWfSMewQpggg9nSCbiHK1&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=HgzHAjM3u16CimnCLUOtkQ%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
Senior Full-Stack Engineer,Turing,Argentina ,De 1.001 a 5.000 empleados ,Jornada completa · Intermedio,"['HTML', 'Java', 'Stack']",https://www.linkedin.com/jobs/view/3714645403/?eBP=CwEAAAGKqhxiqi__5iXK8wfjQmp2UwJuDVWfuTZXrYl32MBE_DOY0UljD-TZBN1DU45qIwx0m_U8clhI25abAd5rlpDsjnuF3DsRlJ6Dv5N_fRZrT8kiSpnqGJUqBFfDL98CFZgzJwPazcqgPoN4m1qEFTD3EZsOUBv0X84QM0BIuATmZVuHAK1BWZzgrQaB88aXhTJtcQj2oEx2Xu_RrLt9Q7mDi6QZvmzn-fh9zB5HMCzReCF399uFLAm3XKvkFhF6ygCPs_0KM3r49H6sy1hCwDnx9DG_ubC8bQrUQgLmhL-2_ZW1UEY0N20W_Hpzuqf3tEJwwtw_3WkDwi_tIqk9xwjaN992Lfu3dzvABUFoFHMuLl7QwuKwHjpErPL_yPa4nlecMCwkGg&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=4utFRUu4hTp62B8%2FBGqeuQ%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-17
