titleJobs,comanyName,companyLocation,employeeRank,workType,skill,link,workModality,industry ,date
Staff Engineer NerdAI (International),"Varsity Tutors, a Nerdy Company",Argentina ,De 501 a 1.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3724689718/?eBP=CwEAAAGKs9yzFFrGYUHbiJ4bjKrEgP-UCbRg6WW183t7-HQ4F38sw5E0nn_b-6W6z5aUOndAOqzTIfu5TEMR_iKSKqlAnBtJ7DKcb_bPS95cQWqPwzfn5oF7VEYD23L-6w5759lHASmF_sBBZ7cxR_4BqWV-MUg-KGBqd6ILr5Vsxd5yZusDT-FRAO2zUfDLhAZLKCTgVv4baDBLi8W-CUwyhRXvGDEBZIWANqRGuEUVNAlOeSy3AoWk904ZVPO0RnFi6QJYUBbJk7EvfC5_1DjUI1m0REs3LD7P7pbIhiyzWhzNMfuZTTinNtdFitS4uS6YMzDHEO_trFTKiHsZTOXOnOglYz602cqmwkGKmWXtQrVDDG9cEu0q517BsrRN8fukk6Z2Xv0&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=LRCgaO0PrVZV6zp%2B1Iu1ew%3D%3D&trk=flagship3_search_srp_jobs,En remoto," Tecnología, información e internet",2023-09-19 00:00:00
Analista de aplicaciones,Grupo Los Grobo,"Carlos Casares, Provincia de Buenos Aires, Argentina ",De 501 a 1.000 empleados ,Jornada completa · Algo de responsabilidad,"['Ingeniería', 'Clientes internos', 'Gestión de incidencias', 'ITIL', 'Ingeniería de sistemas', 'Programación de aplicaciones', 'Servicio de atención al cliente', 'Sistemas de información para la gestión de proyectos (PMIS)']",https://www.linkedin.com/jobs/view/3719503978/?eBP=CwEAAAGKs9yzFKBrJ1f8B4iut59OoZvED6SYCIYO2m0lYM5ksYDVEBCNw9N8F2qlntcPbnBOoSwT-_rUfOiectNN85hMbMDAcjDEWp8SSnUTL_7phxUQVENw5-L5sZIlWAdg3PPlYoyEnlXFOWRIBEs7Aem1eRjgkaf3mGgR6skAuoU9TzTbU_oOlQBXDK8GWl_aPEmN7fqpe8hOaZiEQ_WGWNsdKq6Ql8peLijX1nilMw952inApkV6iXR9DNxUFYXEGIGRGhQIvN1Vjs54SV86gZgShHkvXblPrKVPx9kWYK9JY_WDHvIxpgoCPOgq6N-HF9kXdoFu0TurNH9KRp65gJ-e-J5JaaQTisZJSMPhvoM5erL5WrhNCB402a62GRc9WGWj-jM&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=eWBBVNv8%2FiHwsdLmJSICEA%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Agricultura,2023-09-20 00:00:00
HR Analytics and Data Management,Marsh McLennan,"Buenos Aires, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3723242057/?eBP=CwEAAAGKs9yzFC89jiPJyrjVuKKb38TNCpx_nk99AffQ29s2gvraWx3Qe1E0qeBglzH-2TWN7_Ohmm02Q5XH0qhmUrVTQ42WeSyZ5tzc16iSm7dnuGoiuUB6K60E91J3itwS91Uj4IsLRdQx4M_EZTCtTGbOuA0qZ9ebvKepyAtBuO790dtZORC_A3Ae5FSn7_mJVfEHbsjcx77enBydG9Gu_E97knbmg__MpahfBcHLLrAEyPt4U_PjKdhN2wrw9jh-KAF6lvPiP3irwTygwKQM6dCGFGtyXML3DcOASsbuDzRPOAy1gbyYvuJBzamqQEIUiHWALVZ1xd0hjRFEpQbTMHOgJVxYyxU6_yqvsjgd5Hmo6JQYNzxQJ2JUfFIrWmyL4qKQD8Y&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=Dj0wBi6tbxK2hGOVWxBJYQ%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios financieros,2023-09-20 00:00:00
Científico de Datos LLM,Turing,Argentina ,De 1.001 a 5.000 empleados ,Jornada completa · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3723037700/?eBP=CwEAAAGKs9yzFHzqlI0fbzv_9Fm9hy_jV5QxmKL7c3KdKvRmXr5aHfX6rfM7dgKAdhZI02x48J1IXbQGHrqtqDAJNJrzgUQLfv-mqDWZZHEmU--5Wp-xXy4fpmLbFm14gUBhD6GqRJ5kHGBvr4cwcCZ1zX_5MYGTfmnwPsGU5zDMGqmDgjhIkVYG25EyVUvbPL00fKyEDFz42N6TmKmFDXqecJZisFfdkVIrKnaB1NNyuHsxQWWsvgGTfiEXKf-lc13-n3FDvK51OFfc69443-xgqSQ4mUYvKCZtqMEm7ELH1xkn55xO-enXm9jkBmvJNg-y_cULHnPbdZI79ndFdoah8cD2e8b5mwfMCp_6D_sUbDXq4sFD6ssaibrUxRVo_oGfSHbfG3_kgA&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=UUM%2BUFXbi3VKj%2BdCadd7nA%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios y consultoría de TI,2023-09-20 00:00:00
Python Developer,EPAM Systems,Argentina ,Más de 10.001 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3703625033/?eBP=CwEAAAGKs9yzFHImXb57px5s-ruC8LJskdZZPubmSJ718yET6juVyaGHSC2St8WH-BLGfYz0YaZqaLjgdPUIS_JCo158QH-PA_x2aQfy5bsZl9-7ZrlT5PYU5Dqq5215d0UCNdpTGX3aM3PDYvlcdk3M78rW4dqngU2J4lz7JtBKB7DidR-dwFao5tIgIrZUmac3ZYnw7cen-dOlXvOYnzSzQ4ijnYpr58JUlO2pqtiMXZ5cK8rsJxd-_XLQ9pri2YqCm0h8ovDSJGDItVOL0oFNlL-NEsnWqhPV8l37z6hPeT_z9Zg_S4NNVtKTBS21XNPdbFkeHh2NfoqYJYK30R2dsPQecif5-9Q2AVecCyyH0Kjbth7nisa9X7nb78W1916EfxZg&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=ThsO3onrovpfiEuaKn5ETA%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios y consultoría de TI,2023-09-20 00:00:00
Scrum Master,IBM,"Buenos Aires, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3689297841/?eBP=CwEAAAGKs9yzFEYw9k10rCDWFhrZ01568ODCDjDZkwi2pM9OfMduxymeWLD6LkhASxsOkK3vl4jFQobYRKrVbA3nXsut_3uToDP30XAhlU2csy8I_naBbjRVM4yY7iIppxRvxEpF-ekiBsLOI4OV78JQJ4i8Q-2Ze6gf5vTQCcTRgwKJ97YYRmxdUlVeCOFPsjaibTxupdJ2xItGtLqUSS3sgwBAHW3FLr0X5PGWkt6sfE4c5QEtSGg5HR2yPrchR7VFQkGICC-qBZcAmAeJ-4s5-dS4-QfNbHibrqCKYRlmxxz9kV8z9q6silUJuK_sdqD5UTlWFt9JRWfCnYuSQOrRUSoboHhMCqTBu0z26m3OAKNjNjEQ1AS8sxjM9JSl9wSWqHIy07E&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=8L3wXfVGyPYlUrgaezUIOw%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios y consultoría de TI,2023-09-19 00:00:00
Ingeniero Full Stack especializado en Back-end,Turing,Argentina ,De 1.001 a 5.000 empleados ,Jornada completa · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3712016859/?eBP=CwEAAAGKs9yzFPxgwYY9X3l-xNvASvpJjBUCHlOIlD6Mt1oZ5Pn873JufJ7rqzoNvhVjC-lDOmrK4AGLEpvhMUMDeEgsm94z9i90VhmNntmQrN2b2P50Z1kqnaiJUO0wZJNogTScaaGjKw6GIoR7siU4vlbzMio5JYk38zw8BM0kgpPVSaIQiT53WAaTgbk_UEpG7iBTOwxVkz0SeiOmiSazLFF6A5nRJVaFD56Ar1VIOpVrgH7mAMCiuWkP2WhmsZVvqD_vzR8SuUY2iUyf6GFN9EZnb4SBTn3lu8e_EncjucgETYKSehO61o8aJA-HTPxWd-kS4xJKoYIAHc-Jka9J5X89geNbVdC4zz8HxSfp-_tJuCjaiRX2x2iYsuoSVyNsYGsIWv8&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=CRrcdTRIOe%2FOiGBTcxX1sw%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios y consultoría de TI,2023-09-20 00:00:00
SRE Jr. (Software Engineer II),JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3718266769/?eBP=CwEAAAGKs9yzFHd-P0Yly_swB8n-sAE_vNLfRG_bec-ZsZGGFAcMUERg4h_bmzqAA3my91gA6JOuQniMgBlGmGLaJGjcFTJDLyB8zsT6u-V1MGtTck-HTyvV1xARBQiYxxe2SUIoXaCUDPLIXi2-s_OjZAqGr-gI8bdtKv1m_-rs8Ve9r4Q1jsq5h3IUR4sOkDONY0wlAHuLdjMvmbtc43k92e7QjDvJ2WIh-Uxi7yZCA0Xwr040Zs2Xi7C208N6AmyQnpyBInRVPLH94kJtHiqxfEef9sQodRxiNLaFXBdj-2QeetgK_kffMP5h5RU2wIEEE5SQy7GpKOT1Ru-DAfdy8nEW3LbShtejtPlAbeue1imqZajXPMtnOMvaJOVlaXiZgP3-ZqI&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=rpKA20RTi3of5zBugK8ZrQ%3D%3D&trk=flagship3_search_srp_jobs,Dato no encontrado, Servicios financieros,2023-09-20 00:00:00
SONG-Marketing BDS/INSIGHTS Consultant,Accenture Argentina,"Mar del Plata, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3724730373/?eBP=CwEAAAGKs9yzFGPyLPIMe1CVR9H8a7v3VhhRxt4_9dX8t2eaM0-el-2dqDjwVuj4TqxBj6nmzdKG-2nQW-dbUOxPErBepMpf4PKDvb58nwjTy-Dkhv3vvUy8a8vTW6ZtOsadjNlxzzNjZ-FGDiU2FQ3ld2Kspt3tyQKkAgj_qsHez-bnFYBVyNsCHX_1PV4Mi732woCJdJWnyGXwidUOqzF7lDUm13hCZO3UmGGd8XK8SyDwARBINwqAkn3WSLIrJF4_l9mkWNNf-Nx0nY-xrghN8MHz6h2lZMykXn_XNKSrfPqByBfqELVrom7ZZuovFxj57C3ezMVOvNQGEJArgaBsGiSQ4R6ZXhxE_2ub7V1gMWN9tHCqxB7S4ewkb5yaGTEMf9eKo8M&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=X0D2niAYXULRAboIGVxAlw%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Consultoría y servicios a empresas,2023-09-20 00:00:00
Field Software Engineer,VTEX,"Buenos Aires, Provincia de Buenos Aires, Argentina ",De 1.001 a 5.000 empleados ,Jornada completa · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3725035005/?eBP=CwEAAAGKs9yzFD6WkBWCkvuCKQPDb8rk8zOakl83_9O1pZC99m41EkeNztCsvpUyzjMLO4CW0SM22V8geMatVUxua_vHr1StMdPwTi3RBggxe_gDy-6e5Kj6XcPcILXqvtoKcEj_fpNVc6g-PqVkiDVygwG28oSWlf_Tsrzv-U9BCRnPmwh8uEJeMDHoxWtV01cwI6A9mVw6Odv-cU7sCmDz2vG_CHzzxeWDjKPJJkZsiwgdszFlCBTVJJQNjSTMrs2_6gBbxwtB6X9z6dZSqk31bWjM_2NwpZTFKrluThEo__gno3MaqnGe-WgLNwwCu_J57nIzEc3IWIeUsVU3qFgukrnsCc3YLdw&refId=Glk8iFvCmBmF1zcRoAuzbA%3D%3D&trackingId=tULVz4fVK2AzwPmLIVDySg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Desarrollo de software,2023-09-20 00:00:00
